Date,Description,Amount,Type
2026-06-01,Salary Credit,85000,Credit
2026-06-02,Swiggy Order,420,Debit
2026-06-03,Uber Ride,260,Debit
2026-06-04,BigBasket Groceries,2340,Debit
2026-06-05,Netflix Subscription,649,Debit
2026-06-06,Amazon Shopping,1890,Debit
2026-06-07,Electricity Bill,1450,Debit
2026-06-08,Zomato Order,535,Debit
2026-06-10,Petrol HPCL,2000,Debit
2026-06-11,Spotify Premium,119,Debit
2026-06-12,Apollo Pharmacy,780,Debit
2026-06-14,Freelance Project,15000,Credit
2026-06-15,Rent Payment,22000,Debit
2026-06-16,Ola Cab,340,Debit
2026-06-18,Starbucks Coffee,480,Debit
2026-06-20,Flipkart Electronics,4999,Debit
2026-06-22,Gym Membership,1500,Debit
2026-06-24,Swiggy Order,610,Debit
2026-06-25,Mobile Recharge Jio,799,Debit
2026-06-26,Dividend Income,3200,Credit
